model_name,examples,exact_match,token_f1,evidence_recovered,evidence_token_recall,average_latency_seconds,p95_latency_seconds,throughput_examples_per_second,peak_gpu_memory_mb,average_window_count
BERT truncated 512,200,0.015,0.07365558071885409,0.26,0.4133843754471053,0.028679482998559252,0.03750500498281326,34.86813203885984,457.69970703125,1.0
Longformer SQuAD sliding windows,200,0.06,0.16157914224641423,0.3,0.4588296618391169,0.25616708650166403,0.4064437099703352,3.903702125266995,768.369140625,3.28
Longformer QASPER fine-tuned,200,0.125,0.26664085976583785,0.49,0.6014359159875786,0.26518189649854323,0.44097381501051114,3.7709964865776326,768.369140625,3.28
