answer_position_bucket,examples,exact_match,token_f1,evidence_recovered,evidence_token_recall,average_latency_seconds,average_windows
1025-2048,40,0.0,0.05889754809039174,0.25,0.38903409720557075,0.02708141499897465,1.0
2049-4096,58,0.0,0.03499855582175987,0.22413793103448276,0.3782509380116543,0.0302055362062047,1.0
4097+,34,0.0,0.07974417503829268,0.17647058823529413,0.4097246031956646,0.03013808823615203,1.0
513-1024,38,0.0,0.07319328067757284,0.3684210526315789,0.44510351413666976,0.02825051315563829,1.0
within-first-512,30,0.1,0.16175504551477857,0.3,0.4777462250225408,0.026750146661652253,1.0
