model_name,controlled_target_tokens,examples,exact_match,token_f1,evidence_recovered,evidence_token_recall,average_latency_seconds,average_windows
Longformer QASPER fine-tuned,384,12,0.5,0.6670454545454545,0.8333333333333334,0.9037037037037038,0.07243051666591782,1.0
Longformer QASPER fine-tuned,768,12,0.5,0.6670454545454545,0.8333333333333334,0.9037037037037038,0.07527149165495454,1.0
Longformer QASPER fine-tuned,1536,12,0.25,0.42843434343434345,0.6666666666666666,0.7766862170087977,0.07720827500937351,1.0
Longformer QASPER fine-tuned,3072,12,0.25,0.4398148148148148,0.6666666666666666,0.7799663299663299,0.16716532500868198,2.0
Longformer QASPER fine-tuned,4608,12,0.25,0.4398148148148148,0.6666666666666666,0.7818602693602693,0.2461085750013202,3.0
