answer_position_bucket,examples,exact_match,token_f1,evidence_recovered,evidence_token_recall,average_latency_seconds,average_windows
1025-2048,44,0.13636363636363635,0.298441450692927,0.4772727272727273,0.6006513779420671,0.26310767045784317,3.25
2049-4096,53,0.11320754716981132,0.26163410435675716,0.5660377358490566,0.6633500702134375,0.22717273961928375,2.830188679245283
4097+,31,0.0967741935483871,0.2143103812880603,0.3870967741935484,0.5512155220136208,0.3682372935450516,4.516129032258065
513-1024,41,0.0975609756097561,0.2631562584370444,0.5121951219512195,0.5927649199438518,0.26182017072881913,3.2439024390243905
within-first-512,31,0.1935483870967742,0.2870036185781279,0.45161290322580644,0.5583847079558836,0.23450011290204262,2.903225806451613
