model,architecture,test_loss,test_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,parameters,model_size_mb,evaluation_seconds,throughput_images_per_second,average_latency_ms,latency_status,minimum_latency_ms,maximum_latency_ms,median_latency_ms,p95_latency_ms,latency_precision,latency_batch_size
Vision Transformer,DeiT-tiny / ViT,0.1941329727172851,0.9645,0.9644710838639134,0.9645,0.964425502597084,0.9644255025970838,5526346,21.104485511779785,5.900593900005333,1694.7446595148604,5.515623907566071,completed_local_gpu_benchmark,3.829375982284546,15.385503768920898,4.976944208145142,9.134969997406005,torch.float16,1
ResNet-18,Convolutional neural network,0.2083448143005371,0.9627,0.962610530786802,0.9627,0.9625738757862016,0.9625738757862018,11181642,42.73231029510498,5.922037199954502,1688.6081026436018,2.0777850556373596,completed_local_gpu_benchmark,1.468832015991211,6.276832103729248,1.6893920302391052,3.9115790843963616,torch.float16,1
