iteration,vit_forward_latency_ms,resnet_forward_latency_ms,vit_prediction_pipeline_ms,resnet_prediction_pipeline_ms,vit_python_end_to_end_ms,resnet_python_end_to_end_ms
1,6.269983768463135,3.329024076461792,4.444416046142578,3.8176639080047607,4.505400022026151,1.8853000365197659
2,4.88812780380249,2.598975896835327,4.088640213012695,1.8456000089645386,4.29970002733171,1.9500000053085387
3,4.56774377822876,2.588576078414917,6.359744071960449,2.2835841178894043,4.343400010839105,1.7166999750770628
4,11.798527717590332,2.3283839225769043,6.0763840675354,3.4397120475769043,4.417299991473556,1.7659000004641712
5,15.34000015258789,2.220896005630493,8.906880378723145,2.74288010597229,4.260600020643324,1.7970000044442713
6,7.405119895935059,2.2321600914001465,15.150943756103516,2.368351936340332,4.098700010217726,1.7171999788843095
7,6.164608001708984,2.200927972793579,9.474143981933594,1.9561920166015625,4.1541000246070325,1.6870999825187027
8,6.21504020690918,2.2455360889434814,6.105184078216553,1.8119360208511353,10.404700005892664,1.8659000052139163
9,6.0698561668396,2.2598400115966797,6.0730881690979,1.7846720218658447,10.337000014260411,1.75580003997311
10,6.199295997619629,2.286911964416504,6.149087905883789,1.6890560388565063,4.646199988201261,1.9104999955743551
11,5.97270393371582,2.7031679153442383,5.971007823944092,1.8739839792251587,5.935800028964877,1.7949999892152846
12,6.190879821777344,2.3442559242248535,5.9022722244262695,1.629215955734253,6.884299975354224,1.608499966096133
13,6.11081600189209,2.229696035385132,6.160543918609619,1.617087960243225,5.341399984899908,1.8343999981880188
14,6.20252799987793,2.233407974243164,6.251327991485596,1.614016056060791,4.352600022684783,1.7496999935247004
15,6.124896049499512,2.653856039047241,6.102975845336914,1.6353600025177002,4.520900023635477,1.7825000104494393
16,6.163008213043213,3.26476788520813,6.038943767547607,1.639296054840088,4.24919999204576,1.6859000315889716
17,8.331135749816895,4.0306878089904785,6.0141119956970215,1.649791955947876,4.4098999933339655,1.7120999982580543
18,8.34233570098877,3.9621760845184326,6.084735870361328,1.5785280466079712,4.146599967498332,1.9047000096179545
19,7.678815841674805,4.149343967437744,6.145631790161133,1.6992319822311401,5.177300015930086,2.273400023113936
20,6.282400131225586,2.8651199340820312,5.952991962432861,1.7312639951705933,4.267800017260015,1.8769000307656825
21,8.685407638549805,1.6565760374069214,6.2412800788879395,1.6667840480804443,4.151200002525002,1.8458999693393707
22,7.137279987335205,4.999199867248535,6.037568092346191,1.6540160179138184,4.143300000578165,1.733899989631027
23,7.169248104095459,5.69593620300293,6.204959869384766,1.7220799922943115,13.426699966657907,1.7936999793164432
24,6.255136013031006,5.716415882110596,6.0562238693237305,1.549407958984375,11.024000006727874,1.7117999959737062
25,5.9878082275390625,6.276832103729248,6.032512187957764,1.658463954925537,6.182199984323233,1.8475999822840095
26,6.015168190002441,5.8797760009765625,6.068384170532227,1.7130240201950073,5.980100017040968,1.7654999974183738
27,7.110559940338135,5.64028787612915,5.998144149780273,1.6871999502182007,6.182199984323233,1.781500002834946
28,5.463359832763672,5.224768161773682,6.155424118041992,1.711840033531189,6.144899991340935,1.797800010535866
29,6.1887359619140625,3.4981119632720947,6.155168056488037,1.6676479578018188,7.329599990043789,1.8474999815225601
30,5.2973761558532715,2.7960638999938965,7.625664234161377,2.3713600635528564,10.290000005625188,1.8052999512292445
31,4.23967981338501,2.2850239276885986,6.04095983505249,3.122080087661743,6.110000016633421,1.8404999864287674
32,4.224448204040527,2.2563838958740234,4.409215927124023,1.7134720087051392,5.806699977256358,1.8050000071525574
33,5.887328147888184,3.2624640464782715,9.445088386535645,1.718783974647522,5.097299988847226,1.796900003682822
34,4.436384201049805,3.8716158866882324,12.094816207885742,2.8325440883636475,5.033499968703836,1.6908999532461166
35,4.5338239669799805,3.911007881164551,4.198880195617676,2.3586881160736084,4.263100039679557,1.6621999675408006
36,4.632287979125977,3.8075199127197266,4.651296138763428,2.0557758808135986,4.2307000258006155,1.7967000021599233
37,4.351391792297363,4.283967971801758,4.515967845916748,1.9235199689865112,7.59619998279959,1.9474999862723053
38,4.256351947784424,3.954047918319702,6.212128162384033,1.9229120016098022,5.4086000309325755,1.9172999891452491
39,4.204224109649658,3.959199905395508,5.790719985961914,1.768288016319275,6.232900021132082,1.775599957909435
40,4.582143783569336,4.145343780517578,6.623583793640137,1.6900479793548584,5.114700004924089,1.8457999685779214
41,4.16812801361084,3.927583932876587,4.715167999267578,1.704416036605835,4.399599973112345,1.77800003439188
42,4.158175945281982,1.705888032913208,5.535168170928955,1.66867196559906,4.254999978002161,1.7019999795593321
43,4.183296203613281,1.6003199815750122,4.948256015777588,1.7679040431976318,4.4646000023931265,1.7017999780364335
44,6.895296096801758,1.7115839719772339,4.443456172943115,1.6845439672470093,4.400900041218847,1.7663000035099685
45,5.452767848968506,2.3186559677124023,4.326335906982422,1.6455039978027344,4.385699983686209,1.7172000370919704
46,5.53769588470459,2.0209600925445557,4.101791858673096,1.7870399951934814,4.21520002419129,1.7593000084161758
47,5.400991916656494,1.7917120456695557,4.407904148101807,2.4574079513549805,5.1046000444330275,1.8219000194221735
48,4.211935997009277,1.626688003540039,4.290431976318359,1.919424057006836,5.396900000050664,1.742499996908009
49,6.347008228302002,1.574944019317627,4.061024188995361,1.8149759769439697,6.09690003329888,1.7845999682322145
50,6.701920032501221,3.675168037414551,4.1030402183532715,1.7231040000915527,9.52069996856153,1.8363000126555562
51,6.321983814239502,1.8137600421905518,4.025568008422852,1.9644479751586914,15.24549996247515,1.7939000390470028
52,6.38105583190918,1.7611839771270752,4.106719970703125,1.8483200073242188,8.665200031828135,1.8286000122316182
53,6.398143768310547,3.309312105178833,4.104544162750244,1.6741759777069092,5.627399950753897,1.8301000236533582
54,5.971807956695557,2.676287889480591,4.108736038208008,1.6067839860916138,4.258300003129989,1.7784999799914658
55,6.1872639656066895,2.333888053894043,4.194943904876709,1.5867520570755005,4.220200004056096,1.6341999871656299
56,6.1090240478515625,3.8905279636383057,4.101632118225098,2.5341439247131348,4.202299984171987,1.7314000288024545
57,6.106048107147217,2.016416072845459,4.119423866271973,1.7155519723892212,5.3798999870195985,1.7346999957226217
58,6.182240009307861,1.7120319604873657,3.994271993637085,1.6624000072479248,4.427200008649379,1.8443000153638422
59,6.125504016876221,2.115679979324341,4.1487040519714355,1.6890560388565063,4.310199990868568,1.7197999986819923
60,6.202176094055176,2.2634880542755127,4.147679805755615,1.7527999877929688,5.9689999907277524,1.7825000104494393
61,6.090432167053223,2.296704053878784,4.2366719245910645,1.7298239469528198,5.176600010599941,1.7521000117994845
62,5.9496002197265625,2.1408638954162598,4.159552097320557,1.698367953300476,4.270799981895834,1.7161999712698162
63,8.312959671020508,3.21561598777771,4.29145622253418,1.7466239929199219,4.292799974791706,1.7404999816790223
64,6.304863929748535,3.4372799396514893,4.144800186157227,1.6512960195541382,4.892400000244379,1.7279000021517277
65,6.2097601890563965,3.337536096572876,4.232736110687256,2.256319999694824,4.368499969132245,1.7479999805800617
66,4.197184085845947,3.301151990890503,4.1445441246032715,1.7580480575561523,4.355299985036254,1.8301000236533582
67,4.903295993804932,4.00489616394043,5.164127826690674,1.6647039651870728,4.814499989151955,1.706400013063103
68,4.239999771118164,3.670815944671631,4.127103805541992,1.6840640306472778,4.437999974470586,1.7562000430189073
69,6.172959804534912,3.5276479721069336,4.05017614364624,1.6666239500045776,4.372299998067319,1.735400001052767
70,4.01910400390625,3.327199935913086,4.084767818450928,1.720128059387207,4.197000002022833,1.7727999947965145
71,4.133823871612549,3.2928640842437744,4.368319988250732,1.644320011138916,5.8166999951936305,1.7335000447928905
72,6.704127788543701,3.2762880325317383,4.1975998878479,1.761888027191162,4.452000022865832,1.6781999729573727
73,4.871744155883789,3.136575937271118,4.06217622756958,1.665824055671692,4.260400019120425,1.7955999937839806
74,6.630368232727051,2.6018240451812744,4.169504165649414,2.917759895324707,4.23300004331395,1.6478000325150788
75,9.527423858642578,2.254688024520874,4.290783882141113,1.7703039646148682,6.895099999383092,2.7202999917790294
76,5.064064025878906,2.158463954925537,4.247072219848633,1.7362240552902222,4.561999987345189,3.9591999957337976
77,6.717887878417969,2.2280640602111816,4.223008155822754,1.691391944885254,5.14409999595955,3.8837000029161572
78,4.503039836883545,2.191200017929077,4.191775798797607,1.686303973197937,6.5460000187158585,3.9149000076577067
79,5.052800178527832,3.4223361015319824,4.2740478515625,1.7171200513839722,4.723499994724989,2.1644000080414116
80,4.396768093109131,4.6651201248168945,4.067232131958008,1.6621119976043701,5.02859998960048,1.7466999706812203
81,10.136159896850586,2.4185919761657715,4.09552001953125,1.668768048286438,4.819600027985871,1.746299967635423
82,11.879039764404297,5.0155839920043945,4.127359867095947,1.6535999774932861,4.208000027574599,1.865199999883771
83,10.380895614624023,5.119552135467529,4.2597761154174805,2.351423978805542,4.155099974013865,2.3061000392772257
84,4.897823810577393,2.802783966064453,4.184927940368652,1.8726719617843628,4.207099962513894,1.8528999644331634
85,4.078464031219482,3.599839925765991,4.152416229248047,1.6959999799728394,5.553399969357997,1.8174999859184027
86,4.148128032684326,1.7898240089416504,4.015456199645996,1.6879680156707764,4.556100000627339,1.6810999950394034
87,4.118656158447266,1.6101759672164917,7.240896224975586,1.6308159828186035,4.412800015415996,1.7195999971590936
88,7.428736209869385,1.7157119512557983,4.8969597816467285,1.9921599626541138,6.8737000110559165,1.756699988618493
89,5.137728214263916,3.0519680976867676,6.224607944488525,1.6430079936981201,4.5344000100158155,1.8399000400677323
90,5.402239799499512,6.015935897827148,5.714655876159668,1.6281280517578125,4.835400031879544,1.7343999934382737
91,4.106016159057617,5.672351837158203,4.520832061767578,1.707808017730713,6.364300032146275,1.8263999954797328
92,4.180607795715332,5.523168087005615,4.244192123413086,2.651968002319336,4.312100005336106,1.7544999718666077
93,4.133984088897705,1.7309119701385498,4.318528175354004,2.000607967376709,7.052499975543469,1.6805999912321568
94,6.94982385635376,1.5729600191116333,4.233759880065918,1.8920960426330566,5.552500020712614,1.743700006045401
95,4.231872081756592,1.63155198097229,4.060128211975098,1.6652799844741821,4.161400021985173,1.7112999921664596
96,6.2188801765441895,1.5541119575500488,4.218783855438232,1.7226879596710205,4.035299993120134,1.6912000137381256
97,7.3033599853515625,1.6244159936904907,4.390880107879639,1.7223039865493774,4.8448999878019094,1.8119000014849007
98,6.420479774475098,1.6492799520492554,4.108799934387207,1.709887981414795,5.586299987044185,1.6922999639064074
99,7.789279937744141,1.6384960412979126,4.004511833190918,1.689087986946106,4.469900042749941,2.212699968367815
100,6.374527931213379,1.674239993095398,4.073567867279053,1.6225919723510742,4.260300018358976,1.7951000481843948
101,6.334688186645508,1.6857279539108276,7.687967777252197,3.0106561183929443,4.563199996482581,1.7869999865069985
102,6.674975872039795,1.9251840114593506,5.2358078956604,1.8581759929656982,4.255299980286509,1.658799999859184
103,4.29699182510376,2.827552080154419,5.415103912353516,1.7191040515899658,4.298799962271005,1.7165999743156135
104,4.4600958824157715,1.8371520042419434,7.45743989944458,1.6629120111465454,4.258600005414337,1.7137000104412436
105,5.614336013793945,1.591871976852417,4.1519999504089355,1.7049920558929443,6.454300018958747,1.7762999632395804
106,4.14192008972168,2.747904062271118,4.105311870574951,1.7038079500198364,5.05079998401925,1.7797000473365188
107,4.599008083343506,2.512864112854004,5.648543834686279,1.6473920345306396,5.672300001606345,1.823499973397702
108,4.147744178771973,2.1582720279693604,4.114304065704346,1.6883840560913086,4.706699983216822,3.711499972268939
109,4.526656150817871,2.9869120121002197,4.191743850708008,1.6818560361862183,4.045399953611195,1.9471000414341688
