epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_f1,backbone_learning_rate,classifier_learning_rate,epoch_duration_seconds
1,1.2329263070709684,0.7005876068376068,0.37254902420043945,0.9098,0.9092491496616736,6.673003802281369e-05,0.0006673003802281369,129.15310379996663
2,0.7391358970576881,0.9174234330484331,0.295745251083374,0.9394,0.939234299102018,9.966006260034257e-05,0.0009966006260034258,125.27098440000555
3,0.6683763070323868,0.9490963319088319,0.24924240074157714,0.9502,0.950019004245032,9.697959048760365e-05,0.0009697959048760364,119.56819849996828
4,0.6242358344912189,0.9650551994301995,0.23146522903442382,0.9504,0.9504487951490217,9.176696848372914e-05,0.0009176696848372914,120.52792979998048
5,0.5974966021005245,0.9758279914529915,0.23583857002258302,0.9514,0.9512191752471988,8.430315136296567e-05,0.0008430315136296567,121.38690549996682
6,0.5731530099512845,0.9843972578347578,0.2219459373474121,0.9532,0.9530469775854055,7.499043091869919e-05,0.0007499043091869918,121.82309810002334
7,0.554954737000316,0.9909188034188035,0.22310491333007812,0.9598,0.9597135767930496,6.433075286425702e-05,0.0006433075286425702,120.70961769996211
8,0.5451989849748096,0.9932781339031339,0.21412213134765626,0.9608,0.960569354663968,5.2898662493562444e-05,0.0005289866249356245,119.82876150001539
9,0.5360141406711351,0.9958823005698005,0.21131836700439452,0.9652,0.9651701809569564,4.131033730171826e-05,0.0004131033730171826,120.60277860000497
10,0.5278656323071559,0.9977742165242165,0.203224422454834,0.9654,0.9652833265986086,3.0190375674287554e-05,0.0003019037567428755,121.56069419998676
11,0.5240127841631571,0.9984196937321937,0.2085102249145508,0.965,0.9648367376865963,2.0138131699547426e-05,0.00020138131699547424,120.01756909996038
12,0.5208655605968248,0.9988425925925926,0.2063896987915039,0.9658,0.9656823024351132,1.1695410621479797e-05,0.00011695410621479796,121.80725529999472
13,0.5189938862778862,0.999198717948718,0.20313703308105469,0.9664,0.9663038924629742,5.317266114176556e-06,5.317266114176555e-05,119.88821869995445
14,0.517752156128571,0.9993990384615384,0.20499745330810548,0.9664,0.9663010346599018,1.3474733734661405e-06,1.3474733734661405e-05,118.36343300004955
15,0.5171886837040937,0.9992209757834758,0.20411585998535156,0.9674,0.9672819971850017,0.0,0.0,118.13031779997982
