model,architecture,batch_size,precision,average_forward_latency_ms,minimum_forward_latency_ms,maximum_forward_latency_ms,median_forward_latency_ms,p90_forward_latency_ms,p95_forward_latency_ms,p99_forward_latency_ms,forward_images_per_second,average_prediction_pipeline_ms,average_python_end_to_end_ms,peak_allocated_gpu_memory_mb
Vision Transformer,DeiT-tiny / ViT,1,torch.float16,5.515623907566071,3.829375982284546,15.385503768920898,4.976944208145142,7.178336048126221,9.134969997406005,13.319188232421874,181.30315205651485,5.360192064285278,5.688765299622901,499.79736328125
ResNet-18,Convolutional neural network,1,torch.float16,2.0777850556373596,1.468832015991211,6.276832103729248,1.6893920302391052,3.157977652549744,3.9115790843963616,5.3646412515640245,481.28173666801666,2.1172726051807405,2.2282410007319413,507.99267578125
